Category,Metric,Value
Data Statistics,Original Dataset Size,36111
Data Statistics,After Filtering,644
Data Statistics,Test Set Size,129
Data Statistics,Number of Features,15
Data Statistics,Target Neighborhoods,"Williamsburg, Upper East Side, Astoria"
Price Statistics,Mean Price,$232.96
Price Statistics,Median Price,$180.00
Price Statistics,Std Dev,$148.63
Price Statistics,Min Price,$60.00
Price Statistics,Max Price,$1000.00
Best Model Performance,Model Name,Random Forest
Best Model Performance,RMSE,$109.28
Best Model Performance,MAE,$68.06
Best Model Performance,RÂ²,0.5515
Best Model Performance,MAPE,27.00%
Business Impact,Current Avg Price,$245.35
Business Impact,Predicted Avg Price,$242.71
Business Impact,Price Change,$-2.64 (-1.08%)
Business Impact,Portfolio Size,129
Business Impact,Assumed Occupancy,70%
Business Impact,Current Annual Revenue,"$8,086,575.00"
Business Impact,Optimized Annual Revenue,"$7,999,506.19"
Business Impact,Revenue Increase,"$-87,068.81 (-1.08%)"
Business Impact,Underpriced Properties,54 (41.9%)
Business Impact,Overpriced Properties,34 (26.4%)
